,manufacturer_libele,model_libele
0,LEXUS,RX 450
1,CHEVROLET,EQUINOX
2,HONDA,FIT
3,FORD,ESCAPE
5,HYUNDAI,SANTA FE
6,TOYOTA,PRIUS
8,TOYOTA,CAMRY
9,LEXUS,RX 350
11,FORD,TRANSIT
12,OPEL,VECTRA
16,HYUNDAI,ELANTRA
25,MERCEDES-BENZ,E 220
29,TOYOTA,HIGHLANDER
30,MERCEDES-BENZ,VITO
31,PORSCHE,CAYENNE
32,BMW,X5
34,JEEP,GRAND CHEROKEE
36,TOYOTA,CHR LIMITED
41,HYUNDAI,H1
42,VOLKSWAGEN,JETTA
43,HYUNDAI,SONATA
46,TOYOTA,PRIUS C
48,TOYOTA,AQUA
49,FORD,ESCAPE HYBRID
50,HONDA,CIVIC
52,RENAULT,MEGANE 1.5CDI
54,AUDI,Q5
55,MERCEDES-BENZ,C 180
56,MERCEDES-BENZ,GLA 250
57,NISSAN,JUKE
59,CHEVROLET,CRUZE LT
60,FORD,FUSION
61,TOYOTA,VOXY
63,MERCEDES-BENZ,A 160
64,HYUNDAI,TUCSON
69,TOYOTA,VITZ
71,CHEVROLET,CAPTIVA
75,FORD,MUSTANG
76,MERCEDES-BENZ,ML 350
81,TOYOTA,YARIS
83,HONDA,CR-V
88,CHEVROLET,CRUZE
89,CHEVROLET,ORLANDO
90,MERCEDES-BENZ,GL 63 AMG
91,BMW,520 VANOS
93,DAEWOO,LACETTI
95,BMW,428 SPORT LINE
96,NISSAN,PATROL
98,MERCEDES-BENZ,E 320
99,HYUNDAI,GENESIS
103,LEXUS,GX 460
104,MERCEDES-BENZ,SPRINTER
106,FORD,FOCUS SE
109,KIA,PICANTO
110,BMW,328
111,FORD,EXPLORER
114,MITSUBISHI,AIRTREK
115,MERCEDES-BENZ,E 500 AMG
116,MITSUBISHI,LANCER
118,SSANGYONG,KORANDO
121,RENAULT,CLIO
129,MERCEDES-BENZ,C 220
131,NISSAN,SERENA
133,TOYOTA,RAV 4
136,MITSUBISHI,PAJERO
140,MERCEDES-BENZ,E 300
143,GMC,TERRAIN
144,MERCEDES-BENZ,208
146,HONDA,HR-V EX
147,FIAT,500
149,SUBARU,LEGACY
150,HYUNDAI,ELANTRA SPORT LIMITED
152,TOYOTA,SIENNA
158,MERCEDES-BENZ,A 170
159,LEXUS,NX 300
160,SSANGYONG,REXTON
162,TOYOTA,TACOMA
163,KIA,CARNIVAL GRAND
166,INFINITI,QX60
168,VOLKSWAGEN,PASSAT
169,MERCEDES-BENZ,E 240
171,AUDI,50
173,MERCEDES-BENZ,C 250
175,TOYOTA,VITZ FUNKARGO
177,BMW,325
184,NISSAN,PATHFINDER
185,MITSUBISHI,DELICA
187,VOLKSWAGEN,GOLF
188,MERCEDES-BENZ,VANEO
189,TOYOTA,CAMRY SE
194,NISSAN,PATROL Y60
195,AUDI,A7
197,MERCEDES-BENZ,E 350
202,HYUNDAI,I30
204,NISSAN,ALTIMA
206,ALFA ROMEO,147
207,SUZUKI,GRAND VITARA
208,LEXUS,CT 200H
211,PORSCHE,PANAMERA
212,HYUNDAI,VELOSTER
213,TOYOTA,RAV 4 XLE SPORT
216,TOYOTA,SIENTA
219,MERCEDES-BENZ,CLS 550
223,CHEVROLET,AVALANCHE
225,TOYOTA,AVALON LIMITED
226,KIA,CERATO K3
229,LEXUS,GX 470
233,OPEL,ASTRA G
234,TOYOTA,IST
240,TOYOTA,COROLLA
244,NISSAN,ROGUE
245,MAZDA,MPV
248,BMW,530
249,LEXUS,GS 350
255,VOLKSWAGEN,SHARAN
265,NISSAN,TIIDA
270,MERCEDES-BENZ,C 300
271,SSANGYONG,ACTYON
279,NISSAN,ELGRAND
282,MERCEDES-BENZ,CLS 500
289,MERCEDES-BENZ,S 350
293,TOYOTA,RAV 4 LE
294,OPEL,ZAFIRA
296,OPEL,VECTRA B
298,MERCEDES-BENZ,C 200
299,TOYOTA,CHR
301,MAZDA,323
305,MERCEDES-BENZ,E 350 ᲐᲛᲒ
310,MERCEDES-BENZ,CLK 320
312,SUBARU,FORESTER
313,TOYOTA,AVALON
314,MERCEDES-BENZ,ML 250
317,MITSUBISHI,COLT LANCER
324,BMW,318
326,MITSUBISHI,OUTLANDER
330,MERCEDES-BENZ,E 200
332,MERCEDES-BENZ,GLE 350
335,CHEVROLET,MALIBU
353,HONDA,INSIGHT
356,HONDA,STREAM
380,MITSUBISHI,I
389,VOLKSWAGEN,GTI
390,MITSUBISHI,COLT
394,MITSUBISHI,PAJERO MINI
395,FORD,C-MAX
397,BMW,750
398,TOYOTA,RAV 4 S P O R T
